"Sequence","Title","Scope","State","Test","TestTitle","Dependency","LastUpdated"
51009,,,"Deprecated",556332,"C556332 Set weekend on the first occurence of the specified weekday",556331,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556333,"C556333 Set weekend on the second occurence of the specified weekday",556332,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556334,"C556334 Set full day holiday from home tab",556333,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556335,"C556335 Set full day holiday from home tab",556334,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556336,"C556336 Remove calendar from admin tab",556335,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556337,"C556337 Set full day holiday from the calendar view of admin tab",556336,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556338,"C556338 Set first half from the normal view of the admin tab",556337,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556339,"C556339 Modify calendar from home tab - Part 1",556338,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556340,"C556340 Modify calendar from home tab - Part 2",556339,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556341,"C556341 Modify calendar from admin tab",556340,"2017-04-03T16:38:22.000Z"
51009,,,"Deprecated",556342,"C556342 Remove the holiday from admin tab",556341,"2017-04-03T16:38:22.000Z"
51176,,,"Deprecated",621305,"C621305 1. Administrative Operations: Install BizSolo (TC01)",,"2017-05-15T15:09:01.000Z"
51176,,,"Deprecated",621306,"C621306 2. Administrative Operations: Suspend and Resume BL Servers (TC02)",621305,"2017-05-15T15:09:02.000Z"
51176,,,"Deprecated",621307,"C621307 3. Administrative Operations: Suspend and Resume BP Servers (TC03)",621306,"2017-05-15T15:09:02.000Z"
51176,,,"Deprecated",621308,"C621308 4. Administrative Operations: Start and Stop BL servers from Status page (TC04)",621307,"2017-05-15T15:09:03.000Z"
51176,,,"Deprecated",621311,"C621311 5. Administrative Operations: Start and Stop BL servers from Status page (TC05)",621308,"2017-05-15T15:09:03.000Z"
51176,,,"Deprecated",621350,"C621350 6. My WorkSteps page: Complete PI (TC06)",621311,"2017-05-15T15:09:04.000Z"
51176,,,"Deprecated",621351,"C621351 7. My WorkSteps page: Complete task from PSV tabular view (TC07)",621350,"2017-05-15T15:09:04.000Z"
51176,,,"Deprecated",621352,"C621352 8. My WorkSteps page: View tabular view for active PI (TC08)",621351,"2017-05-15T15:09:05.000Z"
51176,,,"Deprecated",621353,"C621353 9. My WorkSteps page: View tabular view for suspended PI (TC09)",621352,"2017-05-15T15:09:05.000Z"
51176,,,"Deprecated",621354,"C621354 10. Business Calendar: Set regular business hours and mid-day break from admin tab (TC10)",621353,"2017-05-15T15:09:06.000Z"
51176,,,"Deprecated",621426,"C621426 11. View DataSlots: Modify string DS values from home tab (TC11)",621354,"2017-05-15T15:09:06.000Z"
51176,,,"Deprecated",621444,"C621444 12. User Management: Add Group with mandatory fields (TC12)",621426,"2017-05-15T15:09:06.000Z"
51176,,,"Deprecated",621445,"C621445 13. User Management: Add Queue with mandatory fields (TC13)",621444,"2017-05-15T15:09:07.000Z"
51176,,,"Deprecated",621446,"C621446 14. ACL: Configure User Permission (TC14)",621445,"2017-05-17T08:49:01.000Z"
51178,,,"Deprecated",1002352,"Timeout rule:Trigger different actions on rule execution-Part I",,"2017-06-09T17:01:16.000Z"
51178,,,"Deprecated",1002353,"Timeout rule:Trigger different actions on rule execution-Part II",1002352,"2017-06-09T17:01:17.000Z"
51178,,,"Deprecated",1002354,"Timeout rule:Trigger different actions on rule execution-Part III",1002353,"2017-06-09T17:01:18.000Z"
51178,,,"Deprecated",1002355,"Business user task operations:Search tasks based on 'Application'",1002354,"2017-06-09T17:01:18.000Z"
51178,,,"Deprecated",1002356,"Business Manager PI Operations:Search all process instance; Bussiness Manager task operations:Search tasks for specific process",1002355,"2017-06-09T17:01:19.000Z"
51178,,,"Deprecated",1002357,"Business user task operations:Search tasks based on 'Status'",1002356,"2017-06-09T17:01:20.000Z"
51178,,,"Deprecated",1002358,"Business user task operations:Search tasks based on 'Priority'",1002357,"2017-06-09T17:01:21.000Z"
51178,,,"Deprecated",1002359,"BPM Portal: create instance of multiple process",1002358,"2017-06-09T17:01:21.000Z"
51178,,,"Deprecated",1002360,"Business user task operations:Assign available task from My Tasks page-Part I - Part 1",1002359,"2017-06-09T17:01:22.000Z"
51178,,,"Deprecated",1002361,"Business user task operations:Assign available task from My Tasks page-Part I - Part 2",1002360,"2017-06-09T17:01:23.000Z"
51178,,,"Deprecated",1002362,"Business user task operations:Assign available task from My Tasks page-Part II",1002361,"2017-06-09T17:01:23.000Z"
51178,,,"Deprecated",1002363,"Business user task operations:Assign available task from My Tasks page-Part III",1002362,"2017-06-09T17:01:24.000Z"
51178,,,"Deprecated",1002364,"Business user task operations:Make Task Available to group",1002363,"2017-06-09T17:01:26.000Z"
51178,,,"Deprecated",1002365,"Business user task operations:Assign available task from Task Details page",1002364,"2017-06-09T17:01:27.000Z"
51178,,,"Deprecated",1002366,"Business user task operations:Assign next available task using default filter",1002365,"2017-06-09T17:01:28.000Z"
51178,,,"Deprecated",1002367,"BPM Project:Create bizlogic process from existing process in workspace",1002366,"2017-06-10T14:38:14.000Z"
51185,,,"Deprecated",621798,"C621798 Disable analysis creation if no data is present; No results in analysis if no data is present",,"2017-05-30T11:42:16.000Z"
51185,,,"Deprecated",621799,"C621799 Create two workstep application in BPM Studio",621798,"2017-05-30T11:42:17.000Z"
51185,,,"Deprecated",621800,"C621800 Add Dataslots in an application",621799,"2017-05-30T11:42:18.000Z"
51185,,,"Deprecated",621818,"C621818 Configure workstep presentation as Auto-Generated presentation and Add dataslots in WS",621800,"2017-05-30T11:42:19.000Z"
51185,,,"Deprecated",621819,"C621819 Publish an application on SBM server and create instances - Part 1",621818,"2017-05-30T11:42:20.000Z"
51185,,,"Deprecated",621921,"C621921 Publish an application on SBM server and create instances - Part 2",621819,"2017-05-30T11:42:21.000Z"
51185,,,"Deprecated",621922,"C621922 View out-of-the-box analysis data",621921,"2017-05-30T11:42:22.000Z"
51185,,,"Deprecated",621923,"C621923 Populate instance data for analysis",621922,"2017-05-30T11:42:23.000Z"
51185,,,"Deprecated",621926,"C621926 create analysis",621923,"2017-05-30T11:42:24.000Z"
51185,,,"Deprecated",621931,"C621931 Execute analysis a1",621926,"2017-05-30T11:42:25.000Z"
51185,,,"Deprecated",621953,"C621953 Edit analysis",621931,"2017-05-31T16:53:38.000Z"
51185,,,"Deprecated",621954,"C621954 Drill down on measures",621953,"2017-05-30T11:42:27.000Z"
51185,,,"Deprecated",621958,"C621958 Drill down on dimensions",621954,"2017-05-30T11:42:28.000Z"
51185,,,"Deprecated",621959,"C621959 copy analysis and delete analysis",621958,"2017-05-30T11:42:29.000Z"
51370,,,"Developed",675770,"C675770 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 1",,"2017-08-18T15:32:49.000Z"
51370,,,"Developed",678635,"C678635 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 2",675770,"2017-08-17T07:48:05.000Z"
51370,,,"Developed",678636,"C678636 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 3",678635,"2018-08-11T19:02:27.000Z"
51370,,,"Developed",678637,"C678637 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 4",678636,"2018-01-06T21:13:29.000Z"
51370,,,"Developed",678638,"C678638 Sort tasked based on the data sort filter part 1",678637,"2017-08-17T07:48:08.000Z"
51370,,,"Developed",678639,"C678639 Sort tasked based on the data sort filter part 2",678638,"2017-08-17T07:48:08.000Z"
51370,,,"Developed",678640,"C678640 Copy filter - home tab part 1",678639,"2017-08-17T07:48:09.000Z"
51370,,,"Developed",678641,"C678641 Copy filter - home tab part 2",678640,"2017-08-17T07:48:10.000Z"
51370,,,"Developed",678642,"C678642 Copy filter - admin tab part 1",678641,"2017-08-17T07:48:11.000Z"
51370,,,"Developed",678643,"C678643 Copy filter - admin tab part 2",678642,"2017-08-17T07:48:12.000Z"
51501,,,"Deprecated",678799,"C678799 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 1",,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678800,"C678800 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 2",678799,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678801,"C678801 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 3",678800,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678802,"C678802 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 4",678801,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678803,"C678803 Sort tasked based on the data sort filter part 1",678802,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678804,"C678804 Delete filter - home tab part 1",678803,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678805,"C678805 Delete filter - home tab part 2",678804,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678806,"C678806 Delete filter - admin tab part 1",678805,"2016-09-30T04:17:50.000Z"
51501,,,"Deprecated",678807,"C678807 Delete filter - admin tab part 2",678806,"2016-09-30T04:17:50.000Z"
51505,,,"Deprecated",678855,"C678855 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 1",,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678856,"C678856 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 2",678855,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678857,"C678857 Apply out of box filters on the basis of overdue task - creating BPM project and adding new data slot using BPM studio part 3",678856,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678858,"C678858 Addng and removing rows from condition filtering for home and admin tabs part 1",678857,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678859,"C678859 Addng and removing rows from condition filtering for home and admin tabs part 2",678858,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678860,"C678860 installing biz logic from portal",678859,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678861,"C678861 Installing a biz solo application from portal",678860,"2016-09-30T04:20:40.000Z"
51505,,,"Deprecated",678862,"C678862 Unstalling a biz solo application",678861,"2016-09-30T04:20:40.000Z"
51519,,,"Deprecated",679451,"C679451 Refresh process from studio after removing dataslots from BL appl. using deployment wizard - Part 1",,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679452,"C679452 Refresh process from studio after removing dataslots from BL appl. using deployment wizard - Part 2",679451,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679453,"C679453 Refresh process from studio after removing dataslots from BL appl. using deployment wizard - Part 3",679452,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679454,"C679454 Refresh process from studio after removing dataslots from BL appl. using deployment wizard - Part 4",679453,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679455,"C679455 Refresh process from studio after removing dataslots from BL appl. using deployment wizard - Part 5",679454,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679456,"C679456 Refresh process from studio after removing dataslots from BS appl. using server's view - Part 1",679455,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679457,"C679457 Refresh process from studio after removing dataslots from BS appl. using server's view - Part 2",679456,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679458,"C679458 Refresh process from studio after removing dataslots from BS appl. using server's view - Part 3",679457,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679459,"C679459 Refresh process from studio after removing dataslots from BS appl. using server's view - Part 4",679458,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679460,"C679460 Refresh process from studio after removing dataslots from BS appl. using server's view - Part 5",679459,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679461,"C679461 Refresh process from studio after removing dataslots from BS appl. using server's view - Part 6",679460,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679462,"C679462 Refresh process from studio after modifying option in 'Collaboration' tab using deployment wizard - Part 1",679461,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679463,"C679463 Refresh process from studio after modifying option in 'Collaboration' tab using deployment wizard - Part 2",679462,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679464,"C679464 Refresh process from studio after modifying option in 'Collaboration' tab using deployment wizard - Part 3",679463,"2016-09-19T17:58:57.000Z"
51519,,,"Deprecated",679465,"C679465 Refresh process from studio after modifying option in 'Collaboration' tab using deployment wizard - Part 4",679464,"2016-09-19T17:58:57.000Z"
51554,,,"Deprecated",679607,"C679607 Create two workstep application in BPM Studio (TC01-01)",,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679608,"C679608 Create two workstep application in BPM Studio (TC01-02)",679607,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679609,"C679609 Add Dataslots in an application (TC02-01)",679608,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679610,"C679610 Add Dataslots in an application (TC02-02)",679609,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679611,"C679611 Configure workstep presentation as Auto-Generated presentation and Add datalsots in WS (TC03-01)",679610,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679612,"C679612 Configure workstep presentation as Auto-Generated presentation and Add datalsots in WS (TC03-02)",679611,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679613,"C679613 Publish an application on SBM server and create instances (TC04-01)",679612,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679614,"C679614 Publish an application on SBM server and create instances (TC04-02)",679613,"2016-09-30T04:27:14.000Z"
51554,,,"Deprecated",679615,"C679615 Populate instance data for analysis (TC05)",679614,"2016-09-30T04:27:14.000Z"
51555,,,"Developed",679697,"C679697 Create two workstep application in BPM Studio (TC01-01)",,"2017-11-30T10:31:29.000Z"
51555,,,"Developed",679698,"C679698 Add Dataslots in an application (TC02-01)",680746,"2017-10-02T20:00:20.000Z"
51555,,,"Developed",679699,"C679699 Configure workstep presentation as Auto-Generated presentation and Add datalsots in WS (TC03-01)",680747,"2017-10-02T20:00:23.000Z"
51555,,,"Developed",679700,"C679700 Publish an application on SBM server and create instances (TC04-01)",680748,"2017-10-05T13:24:01.000Z"
51555,,,"Developed",679701,"C679701 Populate instance data for analysis (TC05)",680749,"2017-10-02T20:00:27.000Z"
51555,,,"Developed",679702,"C679702 Add dimensions of string and number (TC06-01)",679701,"2017-10-02T20:00:28.000Z"
51555,,,"Developed",679703,"C679703 Add dimensions of date and boolean (TC07-01)",679717,"2017-10-02T20:00:31.000Z"
51555,,,"Developed",679704,"C679704 Remove Dimension of String, number, date and boolean (TC08-01)",679718,"2017-10-02T20:00:33.000Z"
51555,,,"Developed",679705,"C679705 Remove all dimensions (TC09-01)",679719,"2017-10-02T20:00:35.000Z"
51555,,,"Developed",679706,"C679706 Move dimensions up and down (TC10-01)",679720,"2017-10-02T20:00:37.000Z"
51555,,,"Developed",679717,"C679717 Add dimensions of string and number (TC06-02)",679702,"2018-07-28T05:48:47.000Z"
51555,,,"Developed",679718,"C679718 Add dimensions of date and boolean (TC07-02)",679703,"2017-10-02T20:00:31.000Z"
51555,,,"Developed",679719,"C679719 Remove Dimension of String, number, date and boolean (TC08-02)",679704,"2017-10-02T20:00:34.000Z"
51555,,,"Developed",679720,"C679720 Remove all dimensions (TC09-02)",679705,"2017-10-02T20:00:36.000Z"
51555,,,"Developed",679721,"C679721 Move dimensions up and down (TC10-02)",679706,"2017-10-02T20:00:38.000Z"
51555,,,"Developed",680746,"C680746 Create two workstep application in BPM Studio (TC01-02)",679697,"2018-08-04T05:30:28.000Z"
51555,,,"Developed",680747,"C680747 Add Dataslots in an application (TC02-02)",679698,"2017-10-02T20:00:21.000Z"
51555,,,"Developed",680748,"C680748 Configure workstep presentation as Auto-Generated presentation and Add datalsots in WS (TC03-02)",679699,"2017-10-02T20:00:24.000Z"
51555,,,"Developed",680749,"C680749 Publish an application on SBM server and create instances (TC04-02)",679700,"2017-10-02T20:00:26.000Z"
51565,,,"Deprecated",680224,"C680224 Refresh process from studio after modifying workstep alerts using server's view - Part 1",,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680225,"C680225 Refresh process from studio after modifying workstep alerts using server's view - Part 2",680224,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680226,"C680226 Refresh process from studio after modifying workstep alerts using server's view - Part 3",680225,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680227,"C680227 Refresh process from studio after modifying workstep alerts using server's view - Part 4",680226,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680228,"C680228 Refresh process from studio after modifying workstep alerts using server's view - Part 5",680227,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680229,"C680229 Refresh process from studio after modifying skip condition using deployment wizard - Part 1",680228,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680230,"C680230 Refresh process from studio after modifying skip condition using deployment wizard - Part 2",680229,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680231,"C680231 Refresh process from studio after modifying skip condition using deployment wizard - Part 3",680230,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680232,"C680232 Refresh process from studio after modifying skip condition using deployment wizard - Part 4",680231,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680233,"C680233 Refresh process from studio after modifying 'Activate-On' date using server's view - Part 1",680232,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680538,"C680538 Refresh process from studio after modifying 'Activate-On' date using server's view - Part 2",680233,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680744,"C680744 Refresh process from studio after modifying 'Activate-After' duration using deployment wizard - Part 1",680538,"2016-09-30T04:05:10.000Z"
51565,,,"Deprecated",680745,"C680745 Refresh process from studio after modifying 'Activate-After' duration using deployment wizard - Part 2",680744,"2016-09-30T04:05:10.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681036,"C681036 Preconditions - Part 1",,"2018-04-06T14:30:38.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681037,"C681037 Preconditions - Part 2",681036,"2018-04-06T14:30:38.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681038,"C681038 Refresh process from studio after modifying wait for condition using server's view - Part 1",681037,"2018-04-06T14:30:39.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681039,"C681039 Refresh process from studio after modifying wait for condition using server's view - Part 2",681038,"2018-04-06T14:30:40.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681040,"C681040 Refresh process from studio after modifying wait for condition using server's view - Part 3",681039,"2018-04-06T14:30:41.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681041,"C681041 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 1",681040,"2018-04-06T14:30:42.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681042,"C681042 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 2",681041,"2018-04-06T14:30:42.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681043,"C681043 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 3",681042,"2018-04-08T04:55:13.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681044,"C681044 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 4",681043,"2018-04-06T14:30:43.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681045,"C681045 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 5",681044,"2018-04-06T14:30:44.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681046,"C681046 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 6",681045,"2018-04-06T14:30:45.000Z"
51573,"Priority-Critical, Feature-Refresh Process",,"Developed",681047,"C681047 Refresh process from studio after modifying pre-script and post-script using development wizard - Part 7",681046,"2018-04-06T14:30:45.000Z"
51777,,,"Deprecated",684379,"C684379 Start BPM Studio application and Start BPM Servers (TC01)",,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",684698,"C684698 BizRules: Create CRP PRoject and Business Object for BizRules Project (TC02)",684379,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",684813,"C684813 BizRules: Deploy CRP for BizRules Project (TC03)",684698,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",684815,"C684815 BizRules: Create GDST ruleset in BizRules Project (TC04)",684813,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",684817,"C684817 BizRules: Define conditions in GDST project for BizRules Project (TC05)",684815,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",684819,"C684819 BizRules: Define actions, attributes in GDST project for BizRules Project (TC06)",684817,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",684905,"C684905 BizRules: Validate Edit and Delete operations in rule Definitions (TC07)",684819,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",685075,"C685075 BizRules: Define ruleset in GDST for BizRules Project (TC08)",684905,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",685076,"C685076 BizRules: Publist GDST Ruleset on BPM Server (TC09)",685075,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",685077,"C685077 BizRules: Create Activity Diagram in BPM Project for BizRules - Part1 (TC10)",685076,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689977,"C689977 BizRules: Add Dataslots in BPM Projects for BizRules-Part 2 (TC11)",685077,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689978,"C689978 BizRules : Add dataslots in all worksteps in BPM Project for BizRules -Part 3 (TC12-1)",689977,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689979,"C689979 BizRules : Add dataslots in all worksteps in BPM Project for BizRules -Part 3 (TC12-2)",689978,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689980,"C689980 BizRules: Add dataslots in Bizrules Adapter in BPM Projects and Publist BPM Project for BizRules - Part 4 (TC13-01)",689979,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689981,"C689981 BizRules: Add dataslots in Bizrules Adapter in BPM Projects and Publist BPM Project for BizRules - Part 4 (TC13-02)",689980,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689982,"C689982 BizRules : Execute BPM Project for BizRules - Part 1 (TC14)",689981,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689983,"C689983 BizRules: Execute BPM Project for BizRules - Part 2 (TC15)",689982,"2016-09-30T04:08:29.000Z"
51777,,,"Deprecated",689984,"C689984 Closing all windows and browsers (TC16)",689983,"2016-09-30T04:08:29.000Z"
51841,,,"Deprecated",690141,"C690141 Add database jar file in BPM Studio and Launch BPM Studio. (TC01-01)",,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690142,"C690142 Add database jar file in BPM Studio and Launch BPM Studio. (TC01-02)",690141,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690143,"C690143 Start BPM servers and Configure  Runtime database for BizRules Project. (TC02-01)",690142,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690176,"C690176 Import BizRules Sample applications in Studio. (TC03-01)",690143,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690177,"C690177 Publish Bizrules sample applications on BPM Server - Part1. (TC04-01)",690176,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690178,"C690178 Publish Bizrules sample applications on BPM Server - Part2. (TC05-01)",690177,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690179,"C690179 View Projects explorer in BRMS Portal. (TC06-01)",690178,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690180,"C690180 Perform Portal operations on BizRules Project in BRMS Portal. (TC07-01)",690179,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690181,"C690181 Perform functional operations on GDST BizRules Project in BRMS Portal - Part1. (TC08-01)",690180,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690182,"C690182 Perform functional operations on GDST BizRules Project in BRMS Portal - Part2. (TC09-01)",690181,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690183,"C690183 Perform functional operations on GDST BizRules Project in BRMS Portal - Part3. (TC10-01)",690182,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690184,"C690184 BizRules: Create BizRules and GDST Project dialog Test. (TC11-01)",690183,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690197,"C690197 BizRules: Create GDST and SpreadSheet Project dialog Test. (TC12-01)",690184,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690198,"C690198 BizRules: Create technical Drool and CRP Project dialog Test. (TC13-01)",690197,"2016-09-19T17:59:29.000Z"
51841,,,"Deprecated",690199,"C690199 Closing all windows and browsers. (TC14-01)",690198,"2016-09-19T17:59:29.000Z"
51865,,,"Deprecated",690364,"C690364 Start BPM Studio application and start BPM servers. (TC01-01)",,"2016-09-19T18:25:33.000Z"
51865,,,"Deprecated",690365,"C690365 Import Technical rule sample application of BizRules in Studio. (TC02-01)",690364,"2016-09-19T18:25:33.000Z"
